sl_no,project_name,agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report
129,MOHANPUR EXPANSION OC -PHASE I,Eastern Coal Fields Limited [ECL],400173,West Bengal,2020-11-01,2020-11-01,2026-03-01,2030-03-01,888.99,888.99,153.96,31.52,60,July 2026,FlashReport_July_2026.pdf
130,BONJEMEHARI EXPANSION OCP,Eastern Coal Fields Limited [ECL],400180,West Bengal,2021-08-01,2021-08-01,2026-03-01,2030-03-01,570.11,570.11,98.58,17.13,60,July 2026,FlashReport_July_2026.pdf
131,NAKRAKONDA KUMARDIH- B OCP,ECL - CIL,400181,West Bengal,2018-08-01,2018-08-01,2029-03-01,,502.68,502.67,88.9,28.58,60,July 2026,FlashReport_July_2026.pdf
132,TILABONI UG,ECL - CIL,400186,West Bengal,2023-01-01,2023-01-01,2029-03-01,,749.08,749.07,53.97,12.14,61,July 2026,FlashReport_July_2026.pdf
133,JHANJRA EXPANSION UG,Eastern Coal Fields Limited [ECL],400312,West Bengal,2020-04-01,2020-04-01,2029-03-01,,1210.12,1210.12,633.57,52.04,61,July 2026,FlashReport_July_2026.pdf
134,SONEPUR BAZARI EXPANSION OCP [,Eastern Coal Fields Limited [ECL],400315,West Bengal,2021-07-01,2021-07-01,2029-03-01,,5365.88,5365.88,697.64,18.5,61,July 2026,FlashReport_July_2026.pdf
135,ITAPARA OCP,Eastern Coal Fields Limited [ECL],612816,West Bengal,2023-12-01,2023-12-01,2030-03-01,,929.1,929.1,132.43,8.41,61,July 2026,FlashReport_July_2026.pdf
136,SHYAMSUNDARPUR UG INCLUDING SA,ECL - CIL,613793,West Bengal,2020-04-01,2020-04-01,2026-03-01,2028-03-01,483.65,483.65,96.8,16.79,61,July 2026,FlashReport_July_2026.pdf
137,PARASEA-BELBAID UG PROJECT,ECL - CIL,613794,West Bengal,2023-01-01,2023-01-01,2028-03-01,,389.1,389.1,132.48,22.26,61,July 2026,FlashReport_July_2026.pdf
138,PARASCOLE JAMBAD OCP,ECL - CIL,616230,West Bengal,2024-11-01,2024-11-01,2037-03-01,,1193.55,1193.55,11.81,0.23,61,July 2026,FlashReport_July_2026.pdf
139,50 MW Wind Power Project,NLC India Limited,617299,Gujarat,2022-07-01,2024-01-01,2025-06-01,2026-12-01,383.84,383.84,333.34,52.0,61,July 2026,FlashReport_July_2026.pdf
140,600 MW Khavda Solar Power Project,NLC India Limited [NLCIL],617730,Gujarat,2023-08-01,2024-06-01,2026-06-01,2026-12-01,3335.85,3335.85,2122.95,62.0,61,July 2026,FlashReport_July_2026.pdf
141,200 MW SPP part of 510 MW CPSU scheme,NLC India Limited [NLCIL],618991,Gujarat,2022-07-01,2024-03-01,2026-12-01,,1221.41,1221.41,71.51,0.0,61,July 2026,FlashReport_July_2026.pdf
142,100 MW SPP part of SECI 150 MW Hybrid,NLC India Limited [NLCIL],618992,Gujarat,2022-07-01,2024-04-01,2026-12-01,,480.68,480.68,2.75,1.2,61,July 2026,FlashReport_July_2026.pdf
143,NLC Talabira Thermal Power Project,NLC India Limited,400231,Odisha,2017-01-01,2024-01-01,2030-03-01,,27212.96,27212.96,3574.21,4.1,61,July 2026,FlashReport_July_2026.pdf
144,810 MW Solar Power Project - Rajasthan,NLC India Limited [NLCIL],618981,Rajasthan,2024-10-01,2025-09-01,2028-03-01,,4147.07,4147.07,249.95,0.0,61,July 2026,FlashReport_July_2026.pdf
145,Dharamjaigarh-Korba,Railway,400203,Chhattisgarh,2018-05-01,2017-03-01,2026-12-01,2026-08-01,1686.22,2438.53,792.73,43.7,61,July 2026,FlashReport_July_2026.pdf
146,Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia line],Ministry of Coal,400416,Jharkhand,2018-02-01,2022-05-01,2025-06-01,2027-06-01,1799.64,2564.34,1784.77,72.0,61,July 2026,FlashReport_July_2026.pdf
147,Tubed Coal Mine,Damodar Valley Corporation,400192,Jharkhand,2016-07-01,2016-10-01,2026-05-01,2026-12-01,1581.0,1581.0,624.86,37.0,61,July 2026,FlashReport_July_2026.pdf
148,Badam Coal Mining project of NTPC,National Thermal Power Corporation [NTPC],603293,Jharkhand,2019-02-01,2019-09-01,2056-12-01,2027-04-01,502.0,784.0,438.57,67.86,61,July 2026,FlashReport_July_2026.pdf
149,Dibang Multipurpose Project,National Hydroelectric Power Corporation Limited [NHPC],602182,Arunachal Pradesh,2023-02-01,2023-02-01,2032-02-01,2032-02-01,31876.39,31876.39,4921.36,17.93,61,July 2026,FlashReport_July_2026.pdf
150,240MW Heo HE Project,North Eastern Electric Power Corporation Limited,611698,Arunachal Pradesh,2024-12-01,2025-05-01,2029-07-01,,1938.85,1938.85,106.28,6.58,61,July 2026,FlashReport_July_2026.pdf
151,186 MW Tato-I H E Project,North Eastern Electric Power Corporation Limited,611699,Arunachal Pradesh,2024-12-01,2025-05-01,2029-07-01,,1750.07,1750.07,79.45,5.6,62,July 2026,FlashReport_July_2026.pdf
152,700 MW Tato-II HE Project,North Eastern Electric Power Corporation Limited,611716,Arunachal Pradesh,2025-09-01,2025-09-01,2031-09-01,,8146.21,8146.21,253.97,6.59,62,July 2026,FlashReport_July_2026.pdf
153,Kalai-II Hydro Electric Project [1200 MW],THDC India Limited,619311,Arunachal Pradesh,2026-04-01,2026-04-01,2032-10-01,,14105.83,14105.83,189.68,0.0,62,July 2026,FlashReport_July_2026.pdf
154,Buxar Thermal Power Project [1320 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602579,Bihar,2019-03-01,2019-06-01,2024-01-01,2026-05-01,10439.09,13756.56,13731.77,95.01,62,July 2026,FlashReport_July_2026.pdf
155,"Nabinagar Super Thermal Power Project, Stage-II [3x800 MW]",National Thermal Power Corporation [NTPC],619051,Bihar,2024-11-01,2025-03-01,2030-07-01,2030-07-01,29948.0,29948.0,3422.25,15.0,62,July 2026,FlashReport_July_2026.pdf
156,Lara Super Thermal Power Project Stage-II [2 x 800 MW],National Thermal Power Corporation [NTPC],611930,Chhattisgarh,2023-08-01,2023-08-01,2028-06-01,2028-11-01,15530.0,16106.0,5472.13,33.5,62,July 2026,FlashReport_July_2026.pdf
157,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]",National Thermal Power Corporation [NTPC],617188,Chhattisgarh,2024-09-01,2024-09-01,2029-09-01,2029-11-01,9791.0,9791.0,1910.55,22.31,62,July 2026,FlashReport_July_2026.pdf
158,Bagodara Solar Power Project,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,709747,Gujarat,2021-03-01,2021-05-01,2025-12-01,2025-12-01,339.35,339.35,370.0,51.86,62,July 2026,FlashReport_July_2026.pdf
159,Dhaulasidh Hydro Electric Project [66 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602582,Himachal Pradesh,2020-10-01,2021-05-01,2025-11-01,2027-03-01,687.97,1763.31,1275.68,80.69,62,July 2026,FlashReport_July_2026.pdf
160,Luhri Stage-I Hydro Electric Project [210 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602593,Himachal Pradesh,2020-11-01,2020-11-01,2026-01-01,2030-05-01,1810.56,4345.31,1980.59,52.13,62,July 2026,FlashReport_July_2026.pdf
161,Sunni Dam Hydro Electric Project [382 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,611586,Himachal Pradesh,2023-01-01,2023-01-01,2028-04-01,2029-12-01,2614.51,4555.49,1152.21,34.66,62,July 2026,FlashReport_July_2026.pdf
162,"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW",National Hydroelectric Power Corporation Limited [NHPC],602525,Jammu and Kashmir,2014-10-01,2018-02-01,2020-04-01,2026-12-01,8112.12,12728.0,9313.54,82.05,62,July 2026,FlashReport_July_2026.pdf
163,Kiru HE Project,National Hydroelectric Power Corporation Limited [NHPC],602532,Jammu and Kashmir,2019-03-01,2020-02-01,2023-09-01,2026-12-01,4287.59,5409.0,3948.67,87.0,62,July 2026,FlashReport_July_2026.pdf
164,"Ratle HE Project - 850 MW, Ratle Hydroelectric Power Corporation Limited.",National Hydroelectric Power Corporation Limited [NHPC],602535,Jammu and Kashmir,2021-02-01,2022-01-01,2026-02-01,2028-11-01,5281.94,5281.94,1645.11,31.53,62,July 2026,FlashReport_July_2026.pdf
165,Kwar HE Project,National Hydroelectric Power Corporation Limited [NHPC],605155,Jammu and Kashmir,2022-05-01,2022-11-01,2026-11-01,2028-03-01,4526.12,4526.12,1701.47,36.52,62,July 2026,FlashReport_July_2026.pdf
166,Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW],National Thermal Power Corporation [NTPC],400261,Jharkhand,2017-11-01,2017-11-01,2023-03-01,2027-04-01,18668.0,20302.0,19735.72,92.0,62,July 2026,FlashReport_July_2026.pdf
167,"Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand",Damodar Valley Corporation,611509,Jharkhand,2023-04-01,2024-11-01,2029-07-01,,14358.0,14358.0,2229.31,14.3,62,July 2026,FlashReport_July_2026.pdf
168,"Gadarwara Super Thermal Power Project, Stage-II [2x800 MW]",National Thermal Power Corporation [NTPC],618976,Madhya Pradesh,2024-11-01,2025-05-01,2030-03-01,2030-03-01,20446.0,20446.0,2329.76,11.5,62,July 2026,FlashReport_July_2026.pdf
169,Subansiri Lower HE Project [2000 MW],National Hydroelectric Power Corporation Limited [NHPC],602096,"Multi-States (Arunachal Pradesh, Assam)",2003-09-01,2005-01-01,2010-09-01,2027-03-01,6285.33,26075.54,26448.07,97.98,62,July 2026,FlashReport_July_2026.pdf
170,Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion,National Thermal Power Corporation [NTPC],602961,Odisha,2022-08-01,2022-09-01,2027-05-01,2028-05-01,11843.75,12543.0,7031.31,55.0,62,July 2026,FlashReport_July_2026.pdf
171,"Darlipali Super Thermal Power Project, Stage-II [1x800 MW]",National Thermal Power Corporation [NTPC],619056,Odisha,2025-11-01,2025-11-01,2031-01-01,2031-05-01,11131.0,11131.0,566.2,2.7,62,July 2026,FlashReport_July_2026.pdf
172,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]",National Hydroelectric Power Corporation Limited [NHPC],602181,Sikkim,2019-03-01,2020-03-01,2024-03-01,2029-09-01,5748.04,5748.04,4572.68,73.78,62,July 2026,FlashReport_July_2026.pdf
173,Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A wholly owned subsidiary of NHPC Ltd. acquired through NCLT,National Hydroelectric Power Corporation Limited [NHPC],605156,Sikkim,2021-03-01,2021-08-01,2024-05-01,2026-11-01,938.29,1828.11,1718.16,97.56,63,July 2026,FlashReport_July_2026.pdf
174,"Telangana Super Thermal Power Project , Stage-II [3 x 800 MW]",National Thermal Power Corporation [NTPC],619341,Telangana,2026-03-01,2026-03-01,2032-01-01,,29344.85,29344.85,732.96,0.97,63,July 2026,FlashReport_July_2026.pdf
175,"Meja Thermal Power Project, Stage-II ,",3x800 MW,298178,Uttar Pradesh,2026-06-01,2026-06-01,2032-12-01,,38358.0,38358.0,1002.73,0.02,63,July 2026,FlashReport_July_2026.pdf
176,"Singrauli Super Thermal Power Project, Stage-III [2x800 MW]",National Thermal Power Corporation [NTPC],612142,Uttar Pradesh,2024-03-01,2024-03-01,2030-02-01,2030-04-01,17195.0,17195.0,3840.48,25.0,63,July 2026,FlashReport_July_2026.pdf
177,Tapovan-Vishnugad HEP [4x130 MW],National Thermal Power Corporation [NTPC],602185,Uttarakhand,2006-11-01,2006-11-01,2013-03-01,2029-07-01,2978.0,10907.3,7827.81,76.07,63,July 2026,FlashReport_July_2026.pdf
178,Vishnugad Pipalkoti Hydro Electric Project [444 MW],THDC India Limited,602195,Uttarakhand,2008-08-01,2014-01-01,2022-12-01,2028-06-01,3860.35,6405.08,5832.69,81.5,63,July 2026,FlashReport_July_2026.pdf
179,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",Damodar Valley Corporation,400062,West Bengal,2023-01-01,2025-02-01,2029-08-01,,17673.0,17673.0,2268.62,13.0,63,July 2026,FlashReport_July_2026.pdf
180,Rammam-III HEPP [3x40 MW],National Thermal Power Corporation [NTPC],602184,West Bengal,2014-09-01,2014-09-01,2019-09-01,2029-09-01,1381.84,2865.56,1690.73,57.86,63,July 2026,FlashReport_July_2026.pdf
181,Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6,Damodar Valley Corporation,602538,West Bengal,2019-06-01,2021-02-01,2024-01-01,2026-09-01,1037.0,1106.0,1143.06,97.0,63,July 2026,FlashReport_July_2026.pdf
182,Transmission system strengthening at Kurnool- III PS for integration of additional RE generation projects [POWERGRID Kurnool III PS RE Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617183,Andhra Pradesh,2025-03-01,2025-03-01,2027-12-01,,2886.0,2886.0,894.66,43.89,63,July 2026,FlashReport_July_2026.pdf
183,North Eastern Region Expansion Scheme-XXIII [NERES-XXIII],Power Grid Corporation of India Limited [POWERGRID],617375,Arunachal Pradesh,2025-08-01,2025-08-01,2028-02-01,,209.38,209.38,3.14,3.89,63,July 2026,FlashReport_July_2026.pdf
184,Transmission system for evacuation of Power from REZ in Rajasthan [20 GW] under phase-III Part-D Phase-II,Power Grid Corporation of India Limited [POWERGRID],615336,Delhi,2023-11-01,2024-10-01,2026-02-01,2026-12-01,284.0,284.0,90.88,45.94,63,July 2026,FlashReport_July_2026.pdf
185,Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],612139,Gujarat,2023-12-01,2023-12-01,2025-12-01,2026-12-01,4231.0,4231.0,3175.79,72.12,63,July 2026,FlashReport_July_2026.pdf
186,Transmission System for Evacuation of Power from Potential Energy Renewable Zone in Khavda Area of Gujarat under Ph-IV [7GW] Part E2,Power Grid Corporation of India Limited [POWERGRID],612855,Gujarat,2024-05-01,2024-05-01,2026-05-01,2026-09-01,697.0,697.0,592.45,82.0,63,July 2026,FlashReport_July_2026.pdf
187,Augmentation of Transformation Capacity at jam Khambhaliya PS [GIS] [SPV Name POWERGRID Jam Khambhaliya Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],615342,Gujarat,2024-10-01,2024-10-01,2026-07-01,2027-04-01,329.0,329.0,72.38,33.0,63,July 2026,FlashReport_July_2026.pdf
188,Provision of Dynamic Reactive Compensation at Khavda pooling Station 1 [KPS1] and Khavda Pooling station 3 [KPS3],Power Grid Corporation of India Limited [POWERGRID],615343,Gujarat,2024-11-01,2024-11-01,2026-11-01,,501.0,501.0,26.45,8.67,63,July 2026,FlashReport_July_2026.pdf
189,Transmission System for Evacuation of Power from Potential Renewable Energy Zone in Khavda area of Gujarat under Phase-IV [7GW] Part B [SPV Name POWERGRID South Olpad Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],615345,Gujarat,2024-10-01,2024-10-01,2026-10-01,2027-10-01,4766.0,4766.0,2144.7,38.26,63,July 2026,FlashReport_July_2026.pdf
190,Augmentation of Transformation Capacity at KPS1 [GIS] and KPS2 [GIS] [Phase-V Part B1 and Part B2 Scheme] [SPV Name- POWERGRID KPS1 and 2 Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617069,Gujarat,2025-02-01,2025-02-01,2027-02-01,,466.0,466.0,154.9,37.0,63,July 2026,FlashReport_July_2026.pdf
191,Augmentation of Banaskantha [Raghanesda] PS [GIS] [POWERGRID Banaskantha Transco Limited],Power Grid Corporation of India Limited [POWERGRID],617182,Gujarat,2025-03-01,2025-03-01,2027-03-01,,172.0,172.0,61.92,42.0,63,July 2026,FlashReport_July_2026.pdf
192,Augmentation of Transformation Capacity at Bhuj-II PS [GIS],Power Grid Corporation of India Limited [POWERGRID],617391,Gujarat,2025-02-01,2025-02-01,2026-11-01,2027-06-01,488.29,488.29,14.64,7.2,64,July 2026,FlashReport_July_2026.pdf
193,Jamnagar Transmission Limited,Adani Transmission Limited,617405,Gujarat,2024-10-01,2024-10-01,2026-10-01,2027-09-01,4000.0,4000.0,698.0,24.0,64,July 2026,FlashReport_July_2026.pdf
194,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,Power Grid Corporation of India Limited [POWERGRID],617801,Gujarat,2025-03-01,2025-03-01,2026-12-01,2027-06-01,581.74,581.74,17.45,7.2,64,July 2026,FlashReport_July_2026.pdf
195,KPSIII HVDC Transmission Limited,Adani Transmission Limited,619026,Gujarat,2025-12-01,2025-12-01,2029-12-01,,19000.0,19000.0,20.0,1.0,64,July 2026,FlashReport_July_2026.pdf
196,Transmission System for Reliable Power Supply to Dholera,Power Grid Corporation of India Limited [POWERGRID],619029,Gujarat,2024-09-01,2024-09-01,2026-03-01,2026-12-01,319.42,319.42,70.27,35.2,64,July 2026,FlashReport_July_2026.pdf
197,Khavda IVA Power Transmission Limited,Adani Transmission Limited,619049,Gujarat,2024-08-01,2024-08-01,2026-08-01,2027-03-01,4500.0,4500.0,2772.7,70.0,64,July 2026,FlashReport_July_2026.pdf
198,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,Power Grid Corporation of India Limited [POWERGRID],617179,Jammu and Kashmir,2024-07-01,2024-07-01,2026-07-01,2027-06-01,218.6,218.6,3.72,1.7,64,July 2026,FlashReport_July_2026.pdf
199,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,Power Grid Corporation of India Limited [POWERGRID],617326,Jharkhand,2012-02-01,2012-02-01,2026-03-01,2027-06-01,1842.25,1842.25,1648.05,96.4,64,July 2026,FlashReport_July_2026.pdf
200,Transmission Scheme for Integration of Renewable Energy Zone [Phase II] in Koppal II [Phase A&B] and gadag II[Phase A] in Karnataka [POWERGRID KOPPAL GADAG TRANSMISSION LIMITED],Power Grid Corporation of India Limited [POWERGRID],612140,Karnataka,2023-12-01,2023-12-01,2025-12-01,2026-09-01,4445.0,4445.0,4089.4,95.95,64,July 2026,FlashReport_July_2026.pdf
201,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,2025-01-01,2025-01-01,2027-06-01,,1354.0,1354.0,338.5,38.07,64,July 2026,FlashReport_July_2026.pdf
202,"Augmentation of Transformation Capacity by 3x500 MVA, 400/220 KV ICTS [6th-8th] and 1x1500 MVA, 765/400 KV ICT [4th] at Bidar PS [SPV Name- POWERGRID Bidar Augmentation Transmission Limited]",Power Grid Corporation of India Limited [POWERGRID],617068,Karnataka,2025-02-01,2025-02-01,2027-06-01,,288.0,288.0,28.8,18.75,64,July 2026,FlashReport_July_2026.pdf
203,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,2025-03-01,2025-03-01,2027-09-01,,3453.0,3453.0,552.48,23.01,64,July 2026,FlashReport_July_2026.pdf
204,Transmission System Strengthening at Davanagere for Integration of RE Generation [SPV Name - POWERGRID Davanagere Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617803,Karnataka,2025-09-01,2025-09-01,2027-09-01,,379.0,379.0,17.06,2.5,64,July 2026,FlashReport_July_2026.pdf
205,Transmission System Strengthening for integration of additional RE Potential at Davanagere [0.25 GW] and Bellary [2.75 GW],Power Grid Corporation of India Limited [POWERGRID],619228,Karnataka,2026-02-01,2026-02-01,2028-02-01,,1111.0,1111.0,22.22,1.0,64,July 2026,FlashReport_July_2026.pdf
206,Augmentation of 1x500 MVA 400/220kV ICT [3rd] at Thrissur VSC HVDC Station in Kerala,Power Grid Corporation of India Limited [POWERGRID],619028,Kerala,2025-08-01,2025-08-01,2027-08-01,2027-12-01,173.14,173.14,2.08,1.5,64,July 2026,FlashReport_July_2026.pdf
207,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5GW] [Jaisalmer/Barmer Complex] Part H1 [POWERGRID KURAWAR TRANSMISSION LIMITED],Power Grid Corporation of India Limited [POWERGRID],615344,Madhya Pradesh,2024-10-01,2024-10-01,2026-10-01,2027-06-01,3674.0,3674.0,1673.14,47.9,64,July 2026,FlashReport_July_2026.pdf
208,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5 GW] [Jaisalmer/Barmer Complex] Part C [SPV Name POWERGRID Mandsaur Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],615346,Madhya Pradesh,2024-08-01,2024-08-01,2026-08-01,2027-02-01,2708.0,2708.0,1624.8,72.39,64,July 2026,FlashReport_July_2026.pdf
209,Implementation of LILO of both circuits of 400KV vindhyachal PS-Sasan D/C Line at Hindalco Switchyard,Power Grid Corporation of India Limited [POWERGRID],617272,Madhya Pradesh,2024-06-01,2024-06-01,2026-12-01,,370.0,370.0,148.0,55.26,64,July 2026,FlashReport_July_2026.pdf
210,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,2025-06-01,2025-06-01,2027-12-01,,558.0,558.0,180.9,18.47,65,July 2026,FlashReport_July_2026.pdf
211,Augmentation of Transformation Capacity and Implementation of Line Bays at Mandsaur S/S for RE Interconnection [SPV Name- POWERGRID Mandsaur I RE Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617802,Madhya Pradesh,2025-10-01,2025-10-01,2028-03-01,,319.0,319.0,17.23,4.8,65,July 2026,FlashReport_July_2026.pdf
212,Mahan Transmission Limited,Adani Transmission Limited,619024,Madhya Pradesh,2025-03-01,2025-03-01,2027-04-01,,3125.32,3125.32,542.79,30.0,65,July 2026,FlashReport_July_2026.pdf
213,WRNES Talegaon Power Transmission Limited,Adani Transmission Limited,619027,Maharashtra,2025-05-01,2025-05-01,2028-01-01,,2000.0,2000.0,25.0,5.0,65,July 2026,FlashReport_July_2026.pdf
214,Network Expansion Scheme in Maharashtra for removal of Transmission constraints in Pune Region-I [765/400kV AIS Pune East],Power Grid Corporation of India Limited [POWERGRID],619227,Maharashtra,2026-03-01,2026-03-01,2028-03-01,,1420.0,1420.0,38.9,3.92,65,July 2026,FlashReport_July_2026.pdf
215,Transmission System for Integration of Kurnool-IV REZ Phase-I [for 4.5 GW] [POWERGRID Kurnool-IV Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617185,"Multi-States (Andhra Pradesh, Karnataka)",2025-03-01,2025-03-01,2027-03-01,2027-09-01,5550.0,5550.0,1776.0,28.77,65,July 2026,FlashReport_July_2026.pdf
216,Transmission System for Integration of Ananthapur 2 REZ Phase 1 for 4.5 GW. SPV Name Anantapuram 2 REZ Transmission Ltd,Sterlite Power,617806,"Multi-States (Andhra Pradesh, Karnataka)",2024-08-01,2025-03-01,2027-03-01,,4535.99,4535.99,1207.57,64.0,65,July 2026,FlashReport_July_2026.pdf
